Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
236,65223,bot,53,62563,sup,81,35929,bot,145,28661,bot,412,27008,sup,111,17223,sup,64,16201,jg,7,12066,mid,13,10719,mid,59,10014,jg,238,9784,mid,79,8982,top,131,8717,jg,223,4171,top,54,4130,top
54,94109,top,86,83090,top,516,49785,top,104,27916,jg,245,27548,jg,89,27108,sup,67,26730,bot,51,24356,bot,43,20102,sup,48,19944,jg,235,19457,sup,517,17961,mid,81,15584,bot,13,11116,mid,157,9672,mid
21,53504,bot,81,45955,bot,53,37298,sup,875,35924,top,75,35280,top,54,32392,top,1,31669,mid,56,28069,jg,20,25576,jg,203,25464,jg,32,25133,sup,145,19949,bot,157,18908,mid,517,15667,mid,235,9069,sup
76,25679,jg,133,23167,top,126,22067,top,48,19471,jg,54,18574,top,43,18367,sup,38,18327,mid,4,15379,mid,26,14946,sup,131,13671,jg,161,11571,sup,18,9888,bot,222,9817,bot,81,8957,bot,157,7481,mid
157,143871,mid,141,41230,jg,412,39562,sup,81,39218,bot,122,36345,top,39,35232,top,245,30349,jg,84,29611,top,235,29579,sup,555,28525,sup,64,24265,jg,777,17235,mid,711,11455,mid,360,10712,bot,67,9455,bot
555,121456,sup,131,61502,jg,82,46187,top,86,30758,top,875,28244,top,497,25124,sup,22,22919,bot,53,21453,sup,360,16406,bot,3,15037,mid,157,13126,mid,20,11391,jg,777,11188,mid,145,10256,bot,234,8255,jg
81,238397,bot,157,153085,mid,236,133727,bot,202,91919,bot,99,78355,sup,11,73163,jg,112,73056,mid,42,60710,mid,126,53208,top,245,44595,jg,104,40679,jg,122,33514,top,412,32235,sup,23,25121,top,53,25067,sup
104,60500,jg,64,38326,jg,245,34136,jg,3,29121,mid,126,28068,top,84,22654,top,268,22192,mid,4,21946,mid,86,15604,top,80,13557,sup,51,11005,bot,360,10821,bot,236,10314,bot,412,7171,sup,99,6904,sup
80,90247,sup,82,77443,top,75,47140,top,10,43424,top,90,36588,mid,53,35139,sup,111,34549,sup,45,32652,mid,3,32581,mid,77,27973,jg,22,24723,bot,19,21277,jg,20,19895,jg,51,7455,bot,15,6819,bot
2,177910,jg,30,141866,jg,58,75232,top,56,48566,jg,82,39156,top,875,32851,top,517,20885,mid,80,11826,sup,360,10472,bot,69,6670,mid,89,6580,sup,3,6012,mid,202,5584,bot,57,5424,sup,29,3479,bot
157,270790,mid,141,104741,jg,875,101031,top,82,93976,top,122,90828,top,777,74717,mid,555,73271,sup,64,55931,jg,81,55824,bot,517,40964,mid,11,27921,jg,236,21935,bot,32,19991,sup,350,16770,sup,145,8831,bot
99,173776,sup,21,115494,bot,51,81372,bot,145,57154,bot,84,46987,top,134,32496,mid,39,31809,top,518,28922,mid,103,27991,mid,82,19090,top,117,17737,sup,25,17702,sup,64,11500,jg,91,10919,jg,76,10719,jg
145,57620,bot,64,51890,jg,76,31334,jg,81,28155,bot,67,27515,bot,245,25365,jg,157,18323,mid,235,15911,sup,517,14976,mid,84,14715,top,69,13676,mid,17,11741,top,39,9727,top,99,9625,sup,53,8359,sup
76,137321,jg,64,128531,jg,81,86675,bot,157,86051,mid,67,75383,bot,517,72072,mid,32,70044,sup,412,64288,sup,101,52198,sup,84,45428,top,238,44212,mid,39,40900,top,104,27681,jg,54,27501,top,15,24514,bot
