Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
12,81531,161,54770,526,51109,111,40514,267,39628
145,49448,498,49416,51,38100,81,33894,21,32793
25,76138,89,56451,40,55170,117,53507,161,53099
92,58293,238,43827,104,39981,105,38663,39,27451
114,388747,240,206133,266,188310,85,105152,245,103444
10,438807,50,89229,517,85453,145,73841,412,68143
25,792155,43,536571,131,395045,246,350121,99,273560
67,196095,64,96645,121,85303,157,75905,51,58806
145,73301,157,70107,67,60585,517,46841,122,46638
37,1065508,350,198138,10,36053,90,31870,17,31578
78,270974,32,174343,17,169620,19,166134,75,98790
145,257181,81,175713,412,152888,64,129738,43,97828
517,288949,711,137568,141,134323,104,116168,39,108100
104,142648,131,67921,245,67328,157,60923,119,59187
163,36400,76,36058,254,30220,164,29760,99,23302
59,330472,245,253249,104,150023,2,135999,120,118563
122,841915,157,579031,555,434759,31,253226,106,212262
23,171062,202,139006,51,124397,236,83671,62,80750
55,480661,875,225206,114,185658,84,94217,75,89769
104,399198,64,254788,76,197333,238,180237,4,105863
516,289108,266,275833,82,218967,3,201624,58,195905
119,422537,145,63584,38,61054,51,53121,236,28869
55,86452,246,74992,238,54037,84,50892,157,39076
145,44838,236,33647,21,33477,81,31074,51,21288
14,145249,555,72970,86,58188,80,30624,6,28251
8,962889,38,360146,517,242954,157,183152,245,117314
114,88260,119,87901,67,47340,142,45309,121,43675
69,165732,104,120308,82,93824,134,82673,38,65726
81,46831,236,39083,117,34341,412,30907,145,29305
107,224358,92,164246,23,63892,29,49159,203,43813
145,136930,7,102468,157,71311,67,47482,121,47063
101,94628,235,88582,43,42845,143,42239,63,37648
131,120540,245,104965,39,91750,8,75391,238,67823
157,72663,236,42548,81,31771,51,30214,67,29418
117,294800,350,193172,25,175491,267,165932,147,162411
523,92371,202,51586,81,48298,222,36395,51,30962
78,747660,56,307037,37,102877,15,68500,17,36520
81,237448,145,183010,17,106451,110,87871,202,87005
35,268086,79,109437,245,36833,111,25444,106,23003
517,165593,39,119116,81,103747,145,100906,266,100342
67,497501,236,193487,81,171090,145,164284,51,147079
145,142490,81,36185,122,27649,497,25340,67,24545
112,70564,122,69016,75,59487,54,53677,64,50085
16,503763,43,297346,103,250508,235,166946,67,93289
3,157615,157,76592,41,75153,8,68754,238,57873
157,72878,122,71880,266,64857,8,52257,45,27230
25,768457,63,245108,26,148150,201,144069,45,48046
266,126131,35,120410,122,78014,39,70021,27,68694
64,612048,412,140207,427,43298,555,37880,141,36571
122,262750,420,93240,20,87710,45,81040,90,72881
41,805579,157,60972,777,33565,238,32756,104,32455
246,141555,34,99657,145,84824,79,81649,101,64751
84,109177,157,50789,517,49864,777,41292,875,34861
517,273604,163,141235,103,55540,7,35163,4,23260
91,267541,4,80504,41,57921,104,55949,35,44222
517,94113,13,31602,84,31168,266,28957,4,28123
161,377646,45,316070,75,177694,86,74723,82,68203
61,348031,79,119355,56,41079,9,38927,141,33699
42,39534,145,34299,30,31355,15,24666,18,22678
141,334435,28,127475,11,99450,234,92906,107,80918
202,339604,145,148690,429,70809,67,66540,81,42684
121,262681,7,222387,412,123232,105,120506,104,81319
523,154985,69,122983,51,101664,34,96064,134,81027
11,391968,77,101960,555,78340,63,28038,102,23116
157,279355,238,156172,58,110968,114,96861,246,95167
