Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
875,516327,266,426733,82,190746,92,180465,39,169532
13,304071,7,211413,41,155557,164,148748,517,143496
25,126247,121,122094,236,68489,16,57544,86,57215
157,320023,84,290530,55,200683,236,137021,238,114825
54,599353,19,224509,28,187475,56,162792,77,86206
81,135036,157,129177,54,105087,145,82520,555,67980
20,261536,2,144036,141,93787,517,82391,421,74647
39,391379,24,174386,104,102408,164,98859,41,76980
29,74987,11,52233,55,44494,67,40574,8,30278
131,253807,145,207714,105,115837,90,104322,245,47746
50,1190579,143,111721,28,38265,147,36522,37,36330
99,202527,518,104109,145,35141,142,23767,103,22852
64,100704,157,69398,517,66451,39,44773,238,41271
145,181025,67,139773,498,62726,18,58314,131,56830
112,115202,245,86892,412,77500,99,59759,63,52744
154,98742,104,46558,18,35850,57,26247,43,23897
13,153939,157,139935,51,126504,104,112213,101,111719
164,180128,105,140958,157,123717,238,85942,62,79411
157,113329,81,69155,238,53736,134,51786,18,31332
102,510077,33,329286,51,110019,254,109710,5,98347
101,365739,50,219286,82,95569,267,78627,25,46475
55,584605,266,71101,99,59714,7,49788,41,38126
55,562333,157,198210,84,135610,64,108794,39,97021
64,400001,104,271466,245,76014,79,59624,76,39402
142,44700,69,41141,51,32374,84,29532,235,25615
141,110682,35,86590,23,79104,8,77458,24,72238
157,77593,38,55254,12,52789,114,46569,55,36851
12,96679,201,47522,516,39239,25,36452,61,35759
143,108019,63,73786,117,65360,21,44678,412,40018
81,235657,145,115073,110,58606,22,56577,21,51833
84,36032,39,36005,91,25008,67,24182,360,21386
25,69289,412,46850,222,46390,81,41335,57,40962
164,245168,39,113441,84,111925,157,97047,77,89765
67,34228,142,30670,81,29929,238,27685,39,26241
245,145691,141,101817,64,81858,157,67354,517,64081
240,317781,421,98011,96,86931,101,72610,5,48196
86,158348,22,62833,122,55164,24,41404,51,38609
101,156714,74,137603,99,67783,36,65914,33,58963
27,94179,23,83982,98,78061,6,59472,64,41450
157,137688,64,114540,58,93905,122,77959,8,57659
887,290171,875,206801,82,125561,202,82702,89,74751
67,107959,64,79462,157,64356,99,59856,37,56230
107,223506,412,81135,81,75430,119,65721,555,56562
99,361301,25,220789,16,126722,103,80666,81,73221
