,lane,top1,top_dist1,top2,top_dist2,top3,top_dist3,jg1,jg_dist1,jg2,jg_dist2,jg3,jg_dist3,mid1,mid_dist1,mid2,mid_dist2,mid3,mid_dist3,bot1,bot_dist1,bot2,bot_dist2,bot3,bot_dist3,sup1,sup_dist1,sup2,sup_dist2,sup3,sup_dist3
Gangplank,top,Darius,0.04621827069205616,Aatrox,0.050506651457137716,Jayce,0.050863258316436816,LeeSin,0.014591249868400704,Graves,0.02081899966301075,Ekko,0.02921322357630825,Yasuo,0.014341305077640108,Zed,0.021732513376016765,TwistedFate,0.024380760358205585,Ezreal,0.013924653092116105,Jhin,0.015107388707874633,Lucian,0.020251246817382135,Thresh,0.017345884242589676,Pyke,0.027382967738705934,Pantheon,0.0289354492885825
Garen,top,Darius,0.015050204183311917,Malphite,0.02116377318318011,Mordekaiser,0.02536782676798352,MasterYi,0.010136640417511476,Kayn,0.011915886917560755,Warwick,0.014645612018827815,Yasuo,0.007826743443175582,Veigar,0.008585906201288735,Yone,0.015603482715077303,MissFortune,0.0093037042425923,Ashe,0.009560104969259178,Ezreal,0.010204470435643005,Lux,0.008642440081834938,Blitzcrank,0.010689735082795486,Pantheon,0.013453973462999083
Gnar,top,Kennen,0.10924814165833532,Teemo,0.11120503805956164,Renekton,0.11995562428143394,Poppy,0.052605761260369276,LeeSin,0.054301155921762136,Kayn,0.061653117125737796,Yasuo,0.023357045932310857,Sylas,0.05249844309738586,Vladimir,0.05474394028298263,Ezreal,0.02076886195866216,Jhin,0.037057030767429236,Ashe,0.04159041396239915,Thresh,0.040204284915241056,Lux,0.04705631126118924,Blitzcrank,0.04712541850749325
Gragas,top,Sion,0.08659002653702055,Camille,0.11442376013487587,Jax,0.13196494411515708,LeeSin,0.03192943743370093,Graves,0.04539198095222936,JarvanIV,0.1001983501499512,Yasuo,0.03564669366803696,Zed,0.054168111159624284,Galio,0.07285083813484992,Ezreal,0.029925873574894592,Jhin,0.04528395018464168,Vayne,0.0592644939991985,Blitzcrank,0.0405135879735238,Thresh,0.04602815057859838,Alistar,0.06753325234506309
Graves,jg,Gragas,0.017393309190356795,Akali,0.021272217015858977,Sett,0.021449439910566876,LeeSin,0.008457490829751604,Ekko,0.020956921968149116,Nidalee,0.024811045619791066,Yasuo,0.009787059473007453,Sylas,0.010189236545867238,Zed,0.015701239614493497,Ezreal,0.007451707583561142,Lucian,0.008994959357679331,Vayne,0.014591534199159355,Thresh,0.01243916362159276,Pantheon,0.014096567798395812,Senna,0.018033541323315812
Gwen,top,Camille,0.27202745918034094,Riven,0.6748122851456486,Renekton,0.7990157494932094,MonkeyKing,0.297650293788896,Kayn,0.42019901525395653,Graves,0.44002409935560216,Ahri,0.4725669956824432,Zed,0.4813946020340369,Yone,0.48390732851129903,Ezreal,0.30996634282528696,Lucian,0.31390554033102697,Caitlyn,0.44075855984672896,Karma,0.32390197555910955,Pantheon,0.4673003809038343,Sona,0.4683730300269613
Hecarim,jg,Volibear,0.04844060554634378,Jax,0.07043139478692952,Malphite,0.07835667827656707,LeeSin,0.05354379924656434,Ekko,0.10214009847850489,MasterYi,0.11377753116464887,Zed,0.050071895686671315,Sylas,0.05022912725014329,Yasuo,0.05756336596770455,Ezreal,0.03052780788924891,Jhin,0.049366187019005345,Lucian,0.05253659229248084,Amumu,0.04411362287630755,Blitzcrank,0.05377029235903947,Thresh,0.05461376300441431
Heimerdinger,top,Teemo,0.06485849114598195,Garen,0.11255005370037655,Malphite,0.11583411103454866,Karthus,0.08555785537720041,MasterYi,0.08609795988987837,LeeSin,0.119803128037685,Veigar,0.03882333975292733,Annie,0.08765326610312896,Malzahar,0.10063094419151562,Ezreal,0.05145593249234903,MissFortune,0.054215383793024326,Caitlyn,0.06657372448868204,Morgana,0.06645873266325848,Lux,0.06979944084620751,Blitzcrank,0.09351604781411901
Illaoi,top,Darius,0.0624957898468695,Garen,0.06692492455886345,Teemo,0.08301921339960963,MasterYi,0.04617858359201651,Kayn,0.05178795052696933,Warwick,0.05837393853708325,Yasuo,0.03490411480469992,Veigar,0.03921627832024582,Sylas,0.07795569402897573,Ezreal,0.03661618204340951,Jhin,0.04128383332964769,Vayne,0.05598903154619042,Blitzcrank,0.03999857154984073,Lux,0.04215524178843767,Pyke,0.05151961154979142
Irelia,top,Akali,0.007157848744002481,Camille,0.014199681422225661,Fiora,0.020741794233985186,LeeSin,0.005505141227807071,Graves,0.011440675446179827,Ekko,0.011921949272114742,Yasuo,0.005409918151212292,Sylas,0.007495327789021081,Zed,0.011890479266831233,Ezreal,0.0049808319373499535,Kaisa,0.00706544728644503,Lucian,0.0072246947090004645,Thresh,0.007952378722999899,Pantheon,0.010105203862872733,Pyke,0.010517787386452345
Ivern,jg,Chogath,0.18420842859806924,Volibear,0.1862695683744739,Gragas,0.1884065216473632,MasterYi,0.16435063732277808,Nunu,0.17238318518164014,LeeSin,0.18270060916297687,Yasuo,0.1310196258817062,Neeko,0.13717581545676757,Veigar,0.13786853972215635,Ezreal,0.08534075771752204,Jhin,0.09257813644411879,Twitch,0.10521321329500535,Blitzcrank,0.11561656086729728,Bard,0.1274067715908023,Nautilus,0.22895592947818433
Janna,sup,Teemo,0.027187872507512336,Malphite,0.034604466544920214,Kayle,0.04847769851240512,Evelynn,0.03961575436982757,LeeSin,0.044560294074421226,Nidalee,0.04798571290792479,Ahri,0.02443004957235249,Annie,0.03420047798535701,Orianna,0.03635122718402037,MissFortune,0.020283382406907146,Ashe,0.02263296820401281,Ezreal,0.026203423155982897,Nami,0.0280834516606251,Lulu,0.029637346090489358,Lux,0.03865493636133813
JarvanIV,jg,Gragas,0.049618495029605116,Malphite,0.06299331067221206,Jax,0.07126011023944813,LeeSin,0.046908348765870515,Nocturne,0.12143134351914257,MasterYi,0.12169126906814144,Yasuo,0.05608359145375781,Ahri,0.05614019961536779,Sylas,0.06319554364791793,Ezreal,0.023764703135284303,Lucian,0.04253101336515059,Caitlyn,0.05925050780506843,Thresh,0.05798677336436351,Nautilus,0.07154923347967271,Blitzcrank,0.07274547587408522
Jax,top,Darius,0.02300873262642601,Garen,0.02816442735820271,Malphite,0.03511260523563118,MasterYi,0.012599748225418927,LeeSin,0.014897837806448313,Kayn,0.016705655652197022,Yasuo,0.008607408249372006,Zed,0.017657765271950406,Vladimir,0.018746127433497833,Ezreal,0.01019137547786067,Vayne,0.014723528544393289,Lucian,0.018094414806804137,Blitzcrank,0.01587270700850558,Lux,0.01734999536427041,Pantheon,0.017745933549678863
Jayce,top,Irelia,0.031194061462438225,Camille,0.033064139454686316,Fiora,0.05474521354022828,LeeSin,0.01316537095964814,Graves,0.016802790240643854,Ekko,0.03513898797615357,Sylas,0.01789532066080193,Yasuo,0.023378966242847337,Zed,0.028386943723894886,Ezreal,0.012862679603808085,Lucian,0.01314644748144922,Vayne,0.027790529005975288,Thresh,0.022169469451283424,Pantheon,0.02751648440780476,Blitzcrank,0.035410323329127795
Jhin,bot,Akali,0.010194566182601455,Garen,0.011461427374445525,Teemo,0.012230987393656113,LeeSin,0.005904596807523598,Kayn,0.006121492090948728,MasterYi,0.007649762043360258,Yasuo,0.003746283550148976,Zed,0.006449870459076377,Veigar,0.007234431227197053,Ezreal,0.004499233849553776,Kaisa,0.006017820360865146,Caitlyn,0.0074270703622268865,Senna,0.004952820022656482,Thresh,0.005428967023117619,Lux,0.005634884686378924
Jinx,bot,Teemo,0.01722476758810017,Irelia,0.01829950533111386,Akali,0.021774056075322852,MasterYi,0.01221188823303901,LeeSin,0.012291195356829536,Graves,0.01664373597724122,Yasuo,0.010052886637755753,Ahri,0.015713938812428975,Veigar,0.017735890376100134,Ezreal,0.011896509003600286,Kaisa,0.014516541327649181,Vayne,0.014911378354725228,Lux,0.009046846480054355,Thresh,0.011408961959099233,Senna,0.01735339072003395
Kaisa,bot,Irelia,0.003788790019200066,Akali,0.003945405148064711,Camille,0.00959491677535405,LeeSin,0.0032393624118834136,Graves,0.005262923818656779,Ekko,0.0059853545423942086,Yasuo,0.0032390398466086126,Sylas,0.0057927259136783486,Zed,0.0072710862379996456,Ezreal,0.002554141783291727,Vayne,0.005096201556793171,Lucian,0.006431009671289536,Senna,0.002987640145775957,Thresh,0.004602611480957217,Lux,0.00699101779700062
Kalista,bot,Irelia,0.11663686239483272,Akali,0.18191913073201732,Kayle,0.18920335079877454,LeeSin,0.07754641612262958,Nidalee,0.10254160831741882,Graves,0.1159393432247001,Yasuo,0.0585824624043489,Orianna,0.15054929147235852,Sylas,0.18936553205317874,Ezreal,0.06871769172183662,Vayne,0.08835597127217215,Kaisa,0.10449077723517664,Thresh,0.0786567443056669,Senna,0.08659634142855926,Pyke,0.13559667595946795
Karma,sup,Teemo,0.05594560397938201,Malphite,0.059810000263487595,Kayle,0.08659176810333309,Poppy,0.08017649430585332,LeeSin,0.08414439643101226,Diana,0.10599324247079635,Ahri,0.06031930581633406,Galio,0.06398165853587695,Orianna,0.06892542782199194,Ezreal,0.0348093257417712,Ashe,0.03631779264136427,MissFortune,0.04401188208214652,Morgana,0.05307741156673538,Lulu,0.055352601011493995,Leona,0.09327476678585063
Karthus,jg,Heimerdinger,0.11810478082709765,Gangplank,0.13342272713445974,Malphite,0.1386932943809768,LeeSin,0.07900458339870961,Graves,0.11877585970465167,Shaco,0.17645845152562228,Veigar,0.09402982775868758,Yasuo,0.0943666321481253,TwistedFate,0.10251539474712364,Ezreal,0.04238429826392106,Caitlyn,0.07864320920529906,Lucian,0.08573649448879811,Thresh,0.08310472450409657,Xerath,0.10165344668448063,Blitzcrank,0.10377454493407917
Kassadin,mid,Jax,0.04836283440700684,Akali,0.050125145613111786,Kayle,0.07113409765023125,LeeSin,0.043863295974681735,Ekko,0.048272503559674364,Graves,0.04858095785078913,TwistedFate,0.0646252511604929,Zed,0.06603877518836493,Yasuo,0.07276449354658984,Ezreal,0.030098773846130113,Lucian,0.03257292734680629,Vayne,0.04040419030719639,Xerath,0.039391969765312805,Pantheon,0.05638739318982651,Lux,0.05839434508330697
Katarina,mid,Akali,0.0035026700663263726,Irelia,0.004217328634177858,Riven,0.007238395021233543,LeeSin,0.005074891227777235,MasterYi,0.0068295383419460605,Ekko,0.007110678394811086,Yasuo,0.003506480206407977,Zed,0.005631380545702734,Leblanc,0.019871800975817,Vayne,0.004363789631673938,Ezreal,0.0048312195581259225,Kaisa,0.006227206055063093,Lux,0.004334587889739038,Pyke,0.005538128661256085,Thresh,0.00615915333329809
Kayle,top,Irelia,0.09688074947365535,Garen,0.11195492680265128,Teemo,0.11243104992557908,MasterYi,0.051786107591760444,Graves,0.05595297371063624,Kayn,0.09454856965570896,Yasuo,0.0692621786892098,Sylas,0.08423970820500376,Yone,0.08492913497586559,Vayne,0.04633909420788765,Kaisa,0.0481112915659198,Ezreal,0.049120563559498544,Senna,0.040314817661975144,Lux,0.04977548091367838,Pantheon,0.06852445282831379
Kayn,jg,Akali,0.00862193553299342,Jax,0.009560072842158429,Sett,0.009616032800589397,MasterYi,0.009054486372945526,LeeSin,0.010662113172759531,Ekko,0.01160722877244702,Yasuo,0.003201784223668512,Zed,0.005741835740918824,Sylas,0.007878925397603327,Ezreal,0.004347765073528357,Jhin,0.004939946428884063,Kaisa,0.008451894194471059,Pyke,0.004462895280982724,Pantheon,0.0077699980255741645,Thresh,0.007837797554717035
Kennen,top,Rumble,0.1995652840760604,Quinn,0.21992358234269174,Gnar,0.2919919685535112,LeeSin,0.09380771572544352,Diana,0.15795096764544173,MonkeyKing,0.19278067960037942,Sylas,0.12791774606051706,Yasuo,0.132655368671345,Vladimir,0.14733241975744432,Ezreal,0.05432022945464285,Jhin,0.09474779372291409,Lucian,0.11867227241554415,Blitzcrank,0.13538772513563643,Alistar,0.18411753534243033,Zilean,0.18952078531945799
Khazix,jg,Rengar,0.014523065361604184,Jax,0.01753758835046331,Akali,0.029207538414881915,Kayn,0.016256638098585498,LeeSin,0.018656390252712082,MasterYi,0.027546621725091487,Yasuo,0.00969902031707286,Zed,0.013680184977545232,Sylas,0.02193767093805028,Ezreal,0.011297671548559677,Lucian,0.014573358515567708,Vayne,0.017231155278127235,Pyke,0.018367354717510734,Thresh,0.018847446288896567,Morgana,0.02140690555851853
