,Main Champion,Champion,Mastery
0,Skarner,Teemo,0.2314675111157728
1,Skarner,Darius,0.2324399175373147
2,Skarner,Nasus,0.23778459513675196
0,Sona,Teemo,0.024594902227416275
1,Sona,Malphite,0.0451837688426581
2,Sona,Kayle,0.06047022349863624
0,Soraka,Teemo,0.01664550323677321
1,Soraka,Kayle,0.03221454128430868
2,Soraka,Akali,0.037905925962113014
0,Swain,Malphite,0.04968574741247824
1,Swain,Mordekaiser,0.0512298591134387
2,Swain,Sett,0.051632180724457286
0,Sylas,Akali,0.009745327194728665
1,Sylas,Irelia,0.012758279788271964
2,Sylas,Sett,0.019893186977274276
0,Syndra,Irelia,0.0667339263470894
1,Syndra,Akali,0.07044698546830958
2,Syndra,Camille,0.13340567903265468
0,TahmKench,Teemo,0.12382446652922606
1,TahmKench,Ornn,0.17356871221923165
2,TahmKench,Tryndamere,0.1757294348811263
0,Taliyah,Akali,0.0553875261729063
1,Taliyah,Camille,0.07271037437433278
2,Taliyah,Irelia,0.08643611325906723
0,Talon,Akali,0.011738736442417443
1,Talon,Irelia,0.016824160943410126
2,Talon,Jax,0.02591271633118529
0,Taric,Malphite,0.1023013728744438
1,Taric,Jax,0.10434332117307184
2,Taric,Tryndamere,0.1546279209263378
0,Teemo,Garen,0.024724604617266697
1,Teemo,Malphite,0.029276052245579547
2,Teemo,Nasus,0.03374074751385699
0,Thresh,Malphite,0.0066049869840019305
1,Thresh,Gragas,0.006873197061586629
2,Thresh,Shen,0.007135426609735531
0,Tristana,Jax,0.026826247129121
1,Tristana,Teemo,0.03542853065136882
2,Tristana,Irelia,0.042954974137127525
0,Trundle,Jax,0.1530072254121527
1,Trundle,Volibear,0.23051661617187186
2,Trundle,Sett,0.23251441817180335
0,Tryndamere,Garen,0.03414340970930968
1,Tryndamere,Jax,0.04094774431423011
2,Tryndamere,Darius,0.05449196199847023
0,TwistedFate,Akali,0.024862622477437053
1,TwistedFate,Irelia,0.03444005977200747
2,TwistedFate,Jayce,0.0391831145004159
0,Twitch,Riven,0.022794457635943077
1,Twitch,Jax,0.024685133446832996
2,Twitch,Teemo,0.025937411725995632
0,Udyr,Nasus,0.06450535023784322
1,Udyr,Volibear,0.06808053152229522
2,Udyr,Jax,0.07608789611731748
0,Urgot,Garen,0.020060288814861264
1,Urgot,Chogath,0.04543278905834573
