,Main Champion,Champion,Mastery
9,Sylas,Ezreal,0.007623334637649479
10,Sylas,Lucian,0.009129232063296078
11,Sylas,Kaisa,0.016454454465060497
9,Syndra,Lucian,0.03889917722262047
10,Syndra,Ezreal,0.041733827399709496
11,Syndra,Caitlyn,0.06447640326693159
9,TahmKench,Ezreal,0.05198474286138374
10,TahmKench,Jhin,0.059220851032491736
11,TahmKench,Vayne,0.08520563581155421
9,Taliyah,Ezreal,0.051799626741418185
10,Taliyah,Jhin,0.06639530314282535
11,Taliyah,Kaisa,0.0671095246204436
9,Talon,Ezreal,0.00896918429450764
10,Talon,Vayne,0.0142770137134433
11,Talon,Lucian,0.015457399308956834
9,Taric,Ezreal,0.07870239631296437
10,Taric,MissFortune,0.10431593319705608
11,Taric,Vayne,0.10621967657147904
9,Teemo,Ezreal,0.012508520988377009
10,Teemo,Ashe,0.014652467917188303
11,Teemo,Jhin,0.01504399199715554
9,Thresh,Ezreal,0.00195069237412241
10,Thresh,Vayne,0.0036173006988405552
11,Thresh,Lucian,0.004017613281132612
9,Tristana,Kaisa,0.030256805627423937
10,Tristana,Ezreal,0.035948723309588336
11,Tristana,Xayah,0.04169054339537913
9,Trundle,Ezreal,0.10461787194125381
10,Trundle,Lucian,0.1625693914536094
11,Trundle,Ashe,0.18321273752472933
9,Tryndamere,Jhin,0.026274053609842894
10,Tryndamere,Ashe,0.028234459400880083
11,Tryndamere,Ezreal,0.03140063265612708
9,TwistedFate,Ezreal,0.013090445531547267
10,TwistedFate,Lucian,0.020869053043966666
11,TwistedFate,Vayne,0.030228050928935477
9,Twitch,Vayne,0.015921247707867105
10,Twitch,Kaisa,0.020242012519702163
11,Twitch,Jhin,0.023905277959068053
9,Udyr,Ezreal,0.04460209202250535
10,Udyr,Jhin,0.05882753969261179
11,Udyr,Lucian,0.06760488934350942
9,Urgot,Jhin,0.019869301315745446
10,Urgot,MissFortune,0.022754366952290935
11,Urgot,Ashe,0.02337707440065665
9,Varus,Ezreal,0.10202197625306184
10,Varus,Lucian,0.12251790896575142
11,Varus,Caitlyn,0.17769923810395583
9,Vayne,Ezreal,0.003599760302186309
10,Vayne,Kaisa,0.005025385183024125
11,Vayne,Lucian,0.005303960166112055
9,Veigar,Ezreal,0.01513401747589337
10,Veigar,Jhin,0.02224976907501145
11,Veigar,Caitlyn,0.02353289392739602
9,Velkoz,Ezreal,0.011286775398800585
10,Velkoz,Caitlyn,0.01819649658115186
11,Velkoz,Jhin,0.018601354525638065
9,Vex,Ezreal,0.24064415499551955
10,Vex,Lucian,0.3139535006859296
11,Vex,Twitch,0.460761117492514
9,Vi,Ezreal,0.04727089161338654
10,Vi,MissFortune,0.0526082466756893
11,Vi,Jhin,0.057659991427382616
9,Viego,Ezreal,0.02479476514407114
10,Viego,Jhin,0.03243810451617347
11,Viego,Lucian,0.05567479954901246
9,Viktor,Ezreal,0.025011489078034174
10,Viktor,Lucian,0.03632330505943484
11,Viktor,Caitlyn,0.050759055465480714
9,Vladimir,Ezreal,0.00922195031499143
10,Vladimir,Vayne,0.012944115217194832
11,Vladimir,Jhin,0.01614733090655528
9,Volibear,Ezreal,0.0334698770837625
10,Volibear,Jhin,0.05262789457248888
11,Volibear,Lucian,0.060332675409371
9,Warwick,MissFortune,0.014437374672046147
10,Warwick,Ashe,0.015167412470469347
11,Warwick,Jhin,0.018461333778217712
9,Xayah,Kaisa,0.021206881450839404
10,Xayah,Ezreal,0.03990165444629592
11,Xayah,Jhin,0.04490806243112634
9,Xerath,Ezreal,0.017795491442454868
10,Xerath,Ashe,0.02487364521007021
11,Xerath,Jhin,0.031955799819688976
9,XinZhao,Ezreal,0.032306051437822794
10,XinZhao,MissFortune,0.040616221537515006
11,XinZhao,Tristana,0.04927469039953957
9,Yasuo,Ezreal,0.0010471932920502196
10,Yasuo,Vayne,0.0013023252683325667
11,Yasuo,Lucian,0.0015405450322856795
9,Yone,Ezreal,0.012731740143201924
10,Yone,Lucian,0.020533773056732433
11,Yone,Kaisa,0.022949841579079304
9,Yorick,Jhin,0.0446855482571097
10,Yorick,MissFortune,0.055772785661266124
11,Yorick,Caitlyn,0.056346530615789654
9,Yuumi,Ashe,0.0138717502051416
10,Yuumi,MissFortune,0.014070000235788443
11,Yuumi,Caitlyn,0.01880449307915689
9,Zac,Ezreal,0.01262766158651684
10,Zac,Jhin,0.027743019987623897
11,Zac,Lucian,0.031839375298589115
9,Zed,Ezreal,0.0027722435564150115
10,Zed,Lucian,0.003646703875597229
11,Zed,Jhin,0.003919789553242552
9,Zeri,Ezreal,0.2915405877988921
10,Zeri,Jinx,0.8728634778490549
11,Zeri,Kaisa,0.8782872976447534
9,Ziggs,Ezreal,0.10295924851228393
10,Ziggs,MissFortune,0.11524578105975647
11,Ziggs,Ashe,0.1301475687287968
9,Zilean,Ezreal,0.03855165022868403
10,Zilean,Ashe,0.04100295397690491
11,Zilean,Caitlyn,0.05844566125466986
9,Zoe,Ezreal,0.011083147069900445
10,Zoe,Kaisa,0.019339144971205823
11,Zoe,Jhin,0.021991127353846382
9,Zyra,Ashe,0.01927917557218247
10,Zyra,MissFortune,0.023634339834386283
11,Zyra,Caitlyn,0.03211106945307839
