,Main Champion,Champion,Mastery
12,Ryze,Thresh,0.03890343948845372
13,Ryze,Blitzcrank,0.053678163686215745
14,Ryze,Lux,0.06294508693975051
12,Samira,Senna,0.02920481664630927
13,Samira,Lux,0.03153899599890545
14,Samira,Pyke,0.031733607000401357
12,Sejuani,Amumu,0.08510376186282761
13,Sejuani,Morgana,0.1046368442751113
14,Sejuani,Blitzcrank,0.13601929177643496
12,Senna,Lux,0.02429684521489349
13,Senna,Thresh,0.048374820921766
14,Senna,Yuumi,0.05491807793333409
12,Seraphine,Lux,0.10129890972093379
13,Seraphine,Lulu,0.13363063917392423
14,Seraphine,Morgana,0.1690740098075306
12,Sett,Pantheon,0.00829291494781967
13,Sett,Pyke,0.0098635909437863
14,Sett,Blitzcrank,0.013704702548420567
12,Shaco,Thresh,0.016665266121969
13,Shaco,Blitzcrank,0.016933947203977198
14,Shaco,Pyke,0.017223525731822193
12,Shen,Thresh,0.02646043222791383
13,Shen,Pantheon,0.027574498558589736
14,Shen,Blitzcrank,0.033447717954838176
12,Shyvana,Lux,0.11299279825841005
13,Shyvana,Pantheon,0.12010147935969082
14,Shyvana,Amumu,0.15775683050622633
12,Singed,Alistar,0.07202460614735216
13,Singed,Thresh,0.08439739180487539
14,Singed,Pantheon,0.102328216277121
12,Sion,Pyke,0.04191644949065353
13,Sion,Thresh,0.04531569374392476
14,Sion,Blitzcrank,0.0580263235266789
12,Sivir,Senna,0.08913514103848345
13,Sivir,Lux,0.1178068592574703
14,Sivir,Thresh,0.13320584103361352
12,Skarner,Thresh,0.1501955098245101
13,Skarner,Pantheon,0.18060873533221564
14,Skarner,Amumu,0.3097722455660614
12,Sona,Lux,0.032303107912715345
13,Sona,Morgana,0.05185696063906747
14,Sona,Janna,0.06416232757717442
12,Soraka,Lux,0.025284673203572278
13,Soraka,Lulu,0.03178530249203162
14,Soraka,Yuumi,0.036460571147927896
12,Swain,Lux,0.04163898955128679
13,Swain,Morgana,0.051359664797275995
14,Swain,Pantheon,0.0513944034466455
12,Sylas,Pantheon,0.010261435804067059
13,Sylas,Pyke,0.014895581020930068
14,Sylas,Thresh,0.01906756853544004
12,Syndra,Lux,0.06708474852064004
13,Syndra,Velkoz,0.08399091486214375
14,Syndra,Brand,0.11749696455483874
12,TahmKench,Blitzcrank,0.06464921099802824
13,TahmKench,Thresh,0.10078439356672136
14,TahmKench,Morgana,0.10399891244976918
12,Taliyah,Thresh,0.07093656281124283
13,Taliyah,Lux,0.0979747092964062
14,Taliyah,Lulu,0.1024630318121697
12,Talon,Pantheon,0.01493543893647846
13,Talon,Blitzcrank,0.015160919091271525
14,Talon,Pyke,0.017438751511000678
12,Taric,Thresh,0.08904436561295082
13,Taric,Blitzcrank,0.1252465861696927
14,Taric,Leona,0.1671252248417377
12,Teemo,Lux,0.014205054550190149
13,Teemo,Thresh,0.01967147751465662
14,Teemo,Blitzcrank,0.021072534178772168
12,Thresh,Blitzcrank,0.0033274106290264744
13,Thresh,Alistar,0.00579810853606518
14,Thresh,Pyke,0.007815478238411276
12,Tristana,Senna,0.0245224021655037
13,Tristana,Lux,0.026112496472192406
14,Tristana,Pyke,0.037878126942584
12,Trundle,Maokai,0.18801196775178344
13,Trundle,Blitzcrank,0.18803331831823217
14,Trundle,Alistar,0.22392255793111254
12,Tryndamere,Lux,0.027823767331681504
13,Tryndamere,Blitzcrank,0.028004869173908282
14,Tryndamere,Pyke,0.033019407161761286
