,Main Champion,Champion,Mastery
6,Rell,Yasuo,0.23587104654990465
7,Rell,Cassiopeia,0.23745553421301716
8,Rell,Sylas,0.3167383988484937
6,Renekton,Sylas,0.022435457849415266
7,Renekton,Yasuo,0.023861734869269145
8,Renekton,Zed,0.03306184890102541
6,Rengar,Yasuo,0.00666447674890246
7,Rengar,Zed,0.007750177654042408
8,Rengar,Katarina,0.02045120009358969
6,Riven,Yasuo,0.0038006431752305465
7,Riven,Zed,0.0062957672390904235
8,Riven,Katarina,0.010991312498937604
6,Rumble,Viktor,0.06703714006870984
7,Rumble,Ryze,0.11262780305362986
8,Rumble,Orianna,0.1282444635418194
6,Ryze,Yasuo,0.04068172275277805
7,Ryze,Vladimir,0.06855131084562296
8,Ryze,Viktor,0.08069005982822901
6,Samira,Yasuo,0.01695138883362665
7,Samira,Yone,0.03226857296991914
8,Samira,Sylas,0.03637624734252325
6,Sejuani,Veigar,0.10680413873041242
7,Sejuani,Sylas,0.1620287594236894
8,Sejuani,Yasuo,0.1887646848564166
6,Senna,Veigar,0.0236041390480631
7,Senna,Yasuo,0.029023328964034718
8,Senna,Ahri,0.033822489705593435
6,Seraphine,Ahri,0.05453255093432046
7,Seraphine,Zoe,0.10146603845868601
8,Seraphine,Veigar,0.11958079208162264
6,Sett,Yasuo,0.007041108997460723
7,Sett,Sylas,0.007984523504488326
8,Sett,Yone,0.00958040957772469
6,Shaco,Yasuo,0.01137829828076211
7,Shaco,Zed,0.014152927519309924
8,Shaco,Veigar,0.020709824501612347
6,Shen,Yasuo,0.01797091355616652
7,Shen,Zed,0.027382566747926607
8,Shen,Galio,0.03268798836864166
6,Shyvana,Yasuo,0.10373819377641637
7,Shyvana,Zed,0.11221753801305966
8,Shyvana,Veigar,0.137653307765537
6,Singed,Ryze,0.07903505114508029
7,Singed,Vladimir,0.07906099191800263
8,Singed,TwistedFate,0.07982493504075215
6,Sion,Yasuo,0.029600375058382557
7,Sion,Zed,0.04618191130667616
8,Sion,Sylas,0.049445692761246884
6,Sivir,Veigar,0.08525079440578141
7,Sivir,Ahri,0.11599899469526266
8,Sivir,Galio,0.12144519542849247
6,Skarner,Yasuo,0.15702121274343392
7,Skarner,Annie,0.23884303638345786
8,Skarner,Vladimir,0.24061038529043038
6,Sona,Ahri,0.029800615580090645
7,Sona,Veigar,0.03510777990114843
8,Sona,Annie,0.0415166367086372
6,Soraka,Ahri,0.01799994806445879
7,Soraka,Veigar,0.02389053195927903
8,Soraka,Neeko,0.026671577740698824
6,Swain,Yasuo,0.03311045075776704
7,Swain,Veigar,0.03542950475025624
8,Swain,Sylas,0.03982078158638809
6,Sylas,Yone,0.014470110214062899
7,Sylas,Yasuo,0.01655544811385961
8,Sylas,Zed,0.023026758373986198
6,Syndra,Leblanc,0.09208689737459483
